type,food,desired doneness,temperature(c),temperature(f),minimum,best,maximum
beef,steak,rare,54,129.2,1,1.5,3
beef,steak,medium-rare,58,136.4,1,1.5,3
beef,steak,well-done,70,158,1,1.5,3
beef,roast,rare,56,132.8,5,7,16
beef,roast,medium-rare,60,140,5,6,14
beef,roast,well-done,70,158,5,5,11
beef,tough-cuts,rare,58,136.4,24,24,48
beef,tough-cuts,medium-rare,65,149,16,16,24
beef,tough-cuts,well-done,85,185,7,8,16
pork,chop,rare,58,136.4,1,1,2.5
pork,chop,medium-rare,62,143.6,1,1,1.75
pork,chop,well-done,70,158,1,1,1.5
pork,roast,rare,58,136.4,2.5,3,5.5
pork,roast,medium-rare,62,143.6,2.5,3,4
pork,roast,well-done,70,158,2.5,3,3.5
pork,tough-cuts,rare,62,143.6,12,16,24
pork,tough-cuts,medium-rare,68,154.4,8,12,24
pork,tough-cuts,well-done,70,158,7,8,16
chicken,light-meat,rare,60,140,1,2,3.5
chicken,light-meat,medium-rare,65,149,0.9,1,2
chicken,light-meat,well-done,75,167,0.9,1,1.5
chicken,dark-meat,medium-rare,65,149,1,1.5,4.5
chicken,dark-meat,falling-off-bone,75,167,1,1.5,3
fish,fish,rare,40,104,0.5,0.66,1
fish,fish,medium-rare,50,122,0.5,0.66,1
fish,fish,well-done,60,140,0.5,0.66,1
vegetables,green,medium,85,185,0.05,0.1,0.3
vegetables,winter-squash,medium,85,185,1,1,3
vegetables,root-vegetables,medium,85,185,1,1,3